Number of Bodies,Name,Department,Classification,PB Reform,Regulatory Function,Description/Terms of Reference,Notes,Address,Phone,Email,Website,Chair,Chair's Remuneration (p.a. unless otherwise stated),Chief Executive / Secretary,Chief Executive / Secretary Remuneration,Public Meetings,Public Minutes,Register of Interests,Ombudsman,Last Annual Report,Last Review,Government Funding,Total Gross Expenditure,Staff employed,Audit Arrangements,OCPA Regulated,Chair Ministerial or non-ministerial Appt,"Chair
Paid or unpaid","Chair
No.Male","Chair
No.Female","Chair
No.Gender Unknown/ undeclared","Members
Ministerial or non-ministerial Appt","Members
Paid or unpaid?","Members
No. Male","Members
No. Female","Members
No. Gender Unknown/ undeclared",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Export Guarantees Advisory Council,Export Credits Guarantee Department,Advisory NDPB,Retain,No,"To give advice to the Secretary of State, at his request, in respect of any matter relating to the exercise of his functions under the Export and Investment Guarantees Act 1991.
",-,"EGAC, 1 Horse Guards Road, London, SW1A 2HQ",020 7271 8105,cxo@ecgd.gsi.gov.uk,https://www.gov.uk/government/organisations/export-guarantees-advisory-council,Andrew Wiseman,£0,David Underwood,Civil Servant,No,Yes,Yes,PHSO,2013-14,2013,£0,£0,0,-,Yes,Ministerial,Unpaid,1,0,0,7 Ministerial,7 unpaid,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Family Justice Council,Ministry of Justice,Advisory NDPB,Retain,No,"The Family Justice Council (FJC) aims to facilitate the delivery of better and quicker outcomes for families and children who use the family justice system. The Council's primary role is to promote an inter-disciplinary approach to family justice, and through consultation and research, to monitor how effectively the system both as a whole and through its component parts delivers the service the Government and the public need and to advise on reforms necessary for continuous improvement. It is chaired by the President of the Family Division and under its revised terms of reference provides expert advice directly to the Family Justice Board and Government on the operation and reform of the Family Justice System.",Established 2004.  The FJC Secretariat became part of the President of the Family Division's Private Office in August 2012.  A Triennial Review has recently recognised the need for the FJC to continue as an NDBP.,"Office of the President of the Family Division, WG 62, Royal Courts of Justice, Strand, London, WC2A 2LL",020 7947 7333,fjc@justice.gsi.gov.uk,http://www.judiciary.gov.uk/about-the-judiciary/advisory-bodies/fjc,President of the Family Division - The Right Honourable Sir James Munby,£0,"Alex Clark, Secretary to FJC and Private Secretary to the President",Civil Servant,Yes,Yes,Yes,-,2011-12,2014,"£25,000","£21,300",3,-,Yes,Ex-officio,Unpaid,1,-,-,"15 ministerial,10 non-ministerial",Unpaid,12,13,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Family Procedure Rule Committee,Ministry of Justice,Advisory NDPB,Retain,No,"The Family Procedure Rule Committee will seek to produce a single, coherent and simply expressed set of rules governing practice and procedure in family proceedings in the High Court and family court. Before making such rules the committee will consult as it thinks appropriate.",Established 2004.  Minutes of meetings available on request.,"4th Floor, 102 Petty France, London SW1H 9AJ",0203 334 3181,clive.buckley@justice.gsi.gov.uk,http://www.justice.gov.uk/about/moj/advisory-groups/family-procedure-rule-committee,President of the Family Division - The Right Honourable Sir James Munby,£0,Clive Buckley,Civil Servant,Yes,Yes,Yes,-,2013-14,-,£0,£0,0,-,Yes,Non-ministerial,Unpaid,1,-,-,7 ministerial / 7 non-ministerial,Unpaid,9,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FCO Services,Foreign and Commonwealth Office,Executive Agency,-,No,"A Trading Fund which provides a range of integrated secure services worldwide to the FCO, other UK public bodies and foreign governments and international organisations closely linked to the UK.","Established as an Executive Agency 1st April 2006 and then a Trading Fund 1st April 2008.  No pay or pension costs are included in FCO ServicesÕ accounts in respect of the chair and one non-executive member, who are civil servants employed by the FCO.","Hanslope Park, Milton Keynes, MK19 7BH",01908 515747,http://www.fcoservices.gov.uk/eng/contact_us.asp,http://www.fcoservices.gov.uk/,Sir Richard Stagg,Civil Servant,Christopher Moxey,"£145,000-150,000",No,No,Yes,-,2013-14,2011,£0,"£153,019,000",941,NAO,No,Non Ministerial,Unpaid,1,0,0,Non-Ministerial Appt,Four paid and one unpaid (Remunerated by FCO),5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Film Industry Training Board,"Department for Business, Innovation and Skills",Executive NDPB,Retain,Yes,To ensure the quantity and quality of training provision is adequate to meet the current and future skills needs of the film industry.,Established 2009.  FITB is not operational as there is currently no statutory levy in the film industry.  A review of FITB began in 2013 and is ongoing. ,"c/o Creative Skillset, Focus Point, 21 Caledonian Road, London, N1 9GB",-,-,-,Iain Smith,£0,-,-,No,No,No,-,-,-,£0,£0,0,-,Yes,Ministerial,Unpaid,1,-,-,Ministerial,Unpaid,4,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Food and Environment Research Agency,"Department for Environment, Food and Rural Affairs",Executive Agency,-,Yes,"To support and develop a sustainable food chain, a healthy natural environment, and to protect the global community from biological and chemical risks.","Established 2009 (from a review of the Central Science Laboratory).  Last review in February 2011 by Science Capability Review. As of 1 October 2014, inspectorate functions of FERA moved  to Animal and Plant Health Agency (APHA).  Remainder of FERA moved to a new Joint Venture business model as from 1 April 2015.  ","The Food and Environment Research Agency, Sand Hutton, York, YO41 1LZ",01904 462 000,info@fera.gsi.gov.uk,http://www.fera.defra.gov.uk/,Alexis Cleveland,"£10,000-£20,000",Hilary Aldridge,"£115,000-£125,000",No,No,No,PHSO,2013-14,-,"£36,216,000","£52,683,000",584,NAO,No,Ministerial,Paid,0,1,0,Ministerial,Paid,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Food Standards Agency,Food Standards Agency,Non Ministerial Department,-,Yes,"The Food Standards Agency's main aim is to protect people's health and the interest of the consumer in relation to food.  The FSA is responsible for food safety and hygiene, working with businesses to help them produce safe food and with local authorities to enforce food safety regulations.",Established by the Food Standards Act 1999.  Tim Bennett is interim chair until a full time replacement is recruited. ,"Aviation House, 125 Kingsway, London, WC2B 6NH",020 7276 8000,helpline@foodstandards.gsi.gov.uk,http://www.food.gov.uk/,Tim Bennett,"£60,000- £65,000",Catherine Brown,"£155,000 - £160,000",Yes,Yes,Yes,PHSO,2013-2014,2014,"£91,552,000","£129,597,000","1,077",NAO,Yes,Ministerial,paid,1,-,-,Non - Ministerial,Paid,6,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Forest Enterprise England,Forestry Commission,Executive Agency,-,No,"Forest Enterprise England manages the public forest estate, owned by the Secretary of State for Environment, Food and Rural Affairs, in a sustainable way, for the benefit of people, the economy and the environment.",Established 2003. ,"Forestry Commission, 620 Bristol Business Park, Coldharbour Lane, Bristol, BS16 1EJ",03000674000,seceng@forestry.gsi.gov.uk,http://www.forestry.gov.uk/england,-,-,Simon Hodgson,"£80,000-85,000",No,Yes,No,PHSO,2013-14,2013,"£8,800,000","£96,602,000",851,NAO,No,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Forest Research,Forestry Commission,Executive Agency,-,No,"The Research Agency of the Forestry Commission provides research services relevant to UK and international forestry interests and inform and support forestry's contribution to the UK government's policies. Core role is to provide the evidence base for UK forestry practices and to support innovation.
",Established 1997.,"Alice Holt Lodge, Farnham, Surrey, GU10 4LH
",0300 067 5600,research.info@forestry.gsi.gov.uk,http://www.forestry.gov.uk/forestresearch,-,-,Professor James Pendlebury,"£70,000-75,000",No,Yes,No,PHSO,2013-14,2010,"£7,128,000","£12,229,000",185,NAO,No,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Forestry Commission,Forestry Commission,Non Ministerial Department,Retain and substantially reform,Yes,The Forestry Commission is a Non-Ministerial Department responsible for the delivery of forestry policy and management of the public forest estate in England.,"Established 1919.  Forestry is a devolved matter; Natural Resource Wales and Forestry Commission Scotland are responsible to the corresponding administrations for forestry matters.  However, there are a number of subjects, such as tree health, that are dealt with on a cross border basis and funded through Westminster.  ","Forestry Commission, 620 Bristol Business Park, Coldharbour Lane, Bristol, BS16 1EJ",03000674000,seceng@forestry.gsi.gov.uk,http://www.forestry.gov.uk/,Sir Harry Studholme,"£24,000",Ian Gambles (Director England),"£105,000-110,000",No,Yes,Yes,PHSO,2013-14,2014,"£27,582,000","£42,468,000",457,NAO,Yes,Ministerial,Paid,1,-,-,4 Ministerial 2 non-ministerial ,Paid ,3,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Fuel Poverty Advisory Group,Department of Energy and Climate Change,Advisory NDPB,Retain,No,The Fuel Poverty Advisory Group's primary tasks are to consider and report on the effectiveness of current policies aiming to reduce fuel poverty; to consider and report on the case for greater co-ordination; to identify barriers to reducing fuel poverty and to developing effective partnerships and to propose solutions; to consider and report on any additional policies needed to reduce fuel poverty; to encourage key organisations to tackle fuel poverty; and to consider and report on the results of work to monitor fuel poverty.,Established 2002.   Membership is made up of 17 ex-officio organisations.,"FPAG Secretariat, Area 2E, 3 Whitehall Place, SW1A 2AW",0300 068 5156 or 0300 068 5153,fpag@decc.gsi.gov.uk,https://www.gov.uk/government/organisations/the-fuel-poverty-advisory-group,Tom Wright,"£14,000",-,-,No,No,Yes,PHSO,2013-14,2014,"£100,000","£6,678",0,-,Yes,Ministerial,Paid,1,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gambling Commission,"Department for Culture, Media and Sport",Executive NDPB,Merge,Yes,"Independent regulator for all commercial gambling in Great Britain (except spread betting). Its core objectives as a regulator are to keep crime out of gambling, to ensure that gambling is conducted fairly and openly and to protect children and other vulnerable people. The Commission is also responsible for issuing codes of practice to the industry, industry guidance to local authorities and advising the Secretary of State on issues related to gambling.","The Gambling Commission was set up on the 1st October 2005 under the provisions of the Gambling Act 2005, which was fully implemented on 1st September 2007. It took over the role previously held by the Gaming Board of Great Britain. On 1 October 2013, it was merged with the National Lottery Commission and assumed responsibility for the regulation of the National Lottery under the National Lottery Etc. Act, 1993.","Victoria Square House, Victoria House, Birmingham B2 4BP",0121 230 6666,info@gamblingcommission.gov.uk,http://www.gamblingcommission.gov.uk/,Philip Graf,"£66,000",Jenny Williams,"£170,310",No,Yes,Yes,PHSO,2013-14,2012,"£2,638,000","£18,304,000",268,NAO,Yes,Ministerial,Paid,1,0,0,Ministerial,Paid,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gangmasters Licensing Authority,Home Office,Executive NDPB,Retain,Yes,"The GLA operates a licensing scheme for businesses which supply labour to the farming, food processing & packaging and shellfish gathering sectors.  It also enforces the criminal offences in the Gangmasters Licensing Act 2004 on behalf of Defra.","Established April 2005.  Income is generated from enforcement: £2,600,000 + £100,000 (Northern Ireland)."," PO Box 10272, Nottingham, NG2 9PB  ",0345 602 5020,licensing@gla.gsi.gov.ukÊ,http://gla.gov.uk/,Margaret Beels,"£29,000",Paul Broadbent,"£85,000",Yes,Yes,Yes,PHSO,2013-14,2013,"£4,318,000","£4,377,000",67,NAO,Yes,Ministerial,Paid,-,1,-,Ministerial,Unpaid,4,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Geffrye Museum,"Department for Culture, Media and Sport",Executive NDPB,Retain,No,"To encourage people to learn from and enjoy the MuseumÕs collections, buildings and gardens, to promote the study of English homes and gardens.",Established 1914.,"136 Kingsland Road, London E2 8EA",020 7739 9893,info@geffrye-museum.org.uk,http://www.geffrye-museum.org.uk/,Dr Samir Shah,£0,David Dewing,"£66,971",No,No,Yes,PHSO,2013-14,-,"£1,652,000","£2,608,511",43,NAO,Yes,Ministerial,Unpaid,1,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,General Advisory Committee on Science,Food Standards Agency,Advisory NDPB,-,No,"Provides independent advice on the Food Standards Agency's governance and use of science.
",Established 2007,"GACS Secretariat, Food Standards Agency, Room 1B Aviation House, 125 Kingsway, London, WC2B 6NH
",020 7276 8277,gacs@foodstandards.gsi.gov.uk,http://gacs.food.gov.uk/,Professor Sir Colin Blakemore,"£1,530",Dr Patrick Miller,Civil Servant,Yes,Yes,Yes,PHSO,2013-2014,2013,"£10,188","£10,188",1,-,No,Non Ministerial,paid,-,-,-,Non ministerial,paid,8,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Government Actuary's Department,Government Actuary's Department,Non Ministerial Department,-,No,"Government Actuary's Department provides actuarial analysis and services to all the main public service pension schemes; policy advice; advice on transfers of employment and certification of private sector organisationsÕ pension arrangements when staff are transferred; advice to UK Government, and a range of other countries and jurisdictions, on social security arrangements; helps UK Government manage its financial risks; insurance; investment, risk and modelling.",Established in 1919. ,"Finlaison House, 15-17 Furnival Street, London, EC4A 1AB",020 7211 2600,enquiries@gad.gov.uk,www.gov.uk/gad,-,-,Martin Clarke,"£185,000-190,000",No,No,Yes,Parliamentary Ombudsman,2013-14,N/A,£0,"£16,292,000",151,NAO,No,-,-,-,-,-,Non-ministerial,9 Paid,5,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Great Britain ChinaÊCentre,Foreign and Commonwealth Office,Executive NDPB,Retain,No,"To facilitate effective dialogue with the Chinese government, society and business to provide direct delivery of HMG policy objectives.  Great Britain ChinaÊCentre promotes mutual understanding between the UK and China and aims to build long-term connections between the decision-makers in the two countries.",Established 1974. Board meeting minutes may be provided upon request.,"15 Belgrave Square, London, SW1X 8PS",0207 235 6696,contact@gbcc.org.uk,http://www.gbcc.org.uk/,Sir Martin Davidson,£0,Richard Pascoe,"£88,750",Yes,No,Yes,PHSO,2013-14,2013,"£418,237","£959,863",6,NAO,Yes,Ministerial,Unpaid,1,-,-,non-ministerial,Unpaid,17,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Health and Safety Executive,Department for Work and Pensions,Executive NDPB,Retain,Yes,"The mission for HSE is the prevention of death, injury and ill health to those at work and those affected by work activities.","Established April 2008 (as a new unitary body, following HSEÕs original establishment in 1975).  Dr Judge took the post in November 2014.","Redgrave Court, Merton Road, Bootle, L20 7HS",01519 514 000,http://www.hse.gov.uk/contact/index.htm,http://www.hse.gov.uk/,Judith Hackitt,"£110,00-115,000 ",Kevin Myers CBE (Dr Richard Judge),"£145,000-150,000 (£55,000-60,000 )",Yes,Yes,Yes,PHSO,2013-14,2014,"£141,054,000","£233,341,000","2,599",NAO,Yes,Ministerial,Paid,-,-,1,"9 Ministerial, 1 non-ministerial","9 paid, 1 unpaid",7,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Health and Social Care Information Centre,Department of Health,Executive NDPB,-,No,"HSCIC collects, analyses and publishes national data and statistical information and delivers national IT systems and services to support health and care providers.  ",-,"Trevelyan Square, Boar Lane,  Leeds   LS1 6AE",0845 300 6016,enquiries@hscic.gov.uk,http://www.hscic.gov.uk/,Kingsley Manning,"£63,000",Andy Williams,"£185,000",Yes,Yes,Yes,PHSO,2013/14,-,"£163,156,000","£215,109,000","2,372",NAO,Yes,Ministerial,Paid,1,-,-,Ministerial,Paid,3,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Health Research Authority ,Department of Health,Executive NDPB,-,Yes,"The HRA was established in December 2011 to protect and promote the interests of patients and the public in health research, and to streamline the regulation of research.  We aim, with partners, to make the UK a great place to do health research, to build confidence and participation in health research, and so improve the nationÕs health. The HRA became an Executive NDPB on 1 January 2015",The figures in this report run from April 2014 to March 2015.  From 1 April 2014 to 31 December 2014 the HRA was a Special Health Authority.  From 1 January to 31 March 2015 the HRA was an Executive Non Departmental Public Body.,"Skipton House, 80 London Road, London SE1 6LH",0207 972 2545,contact.hra@nhs.net,http://www.hra.nhs.uk/,Professor Jonathan Montgomery,"£50,091",Dr Janet Wisely,"£138,185",Yes,Yes,Yes,PHSO,2014,-,"£13,444,000","£10,670,000",160,NAO,Yes,Ministerial,Paid,1,-,-,Ministerial,Paid,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
